Alabama - 9 votes,Kentucky - 8 votes,North Dakota - 3 votes,,,,
Alaska - 3 votes,Louisiana - 8 votes,Ohio - 17 votes,,,,
Arizona - 11 votes,Maine - 4 votes,Oklahoma - 7 votes,,,,
Arkansas - 6 votes,Maryland - 10 votes,Oregon - 8 votes,,,,
California - 54 votes,Massachusetts - 11 votes,Pennsylvania - 19 votes,,,,
Colorado - 10 votes,Michigan - 15 votes,Rhode Island - 4 votes,,,,
Connecticut - 7 votes,Minnesota - 10 votes,South Carolina - 9 votes,,,,
Delaware - 3 votes,Mississippi - 6 votes,South Dakota - 3 votes,,,,
District of Columbia - 3 votes,Missouri - 10 votes,Tennessee - 11 votes,,,,
Florida - 30 votes,Montana - 4 votes,Texas - 40 votes,,,,
Georgia - 16 votes,Nebraska - 5 votes,Utah - 6 votes,,,,
Hawaii - 4 votes,Nevada - 6 votes,Vermont - 3 votes,,,,
Idaho - 4 votes,New Hampshire - 4 votes,Virginia - 13 votes,,,,
Illinois - 19 votes,New Jersey - 14 votes,Washington - 12 votes,,,,
Indiana - 11 votes,New Mexico - 5 votes,West Virginia - 4 votes,,,,
Iowa - 6 votes,New York - 28 votes,Wisconsin - 10 votes,,,,
Kansas - 6 votes,North Carolina - 16 votes,Wyoming - 3 votes,,,,
