time,state
2024-11-05 19:00,Kentucky
2024-11-05 19:00,Vermont
2024-11-05 19:30,West Virginia
2024-11-05 19:36,Virginia
2024-11-05 19:56,South Carolina
2024-11-05 20:00,Alabama
2024-11-05 20:00,Mississippi
2024-11-05 20:00,Tennessee
2024-11-05 20:00,Oklahoma
2024-11-05 20:00,Connecticut
2024-11-05 20:00,Delaware
2024-11-05 20:00,Illinois
2024-11-05 20:00,Maryland
2024-11-05 20:00,Massachusetts
2024-11-05 20:00,New Jersey
2024-11-05 20:00,Rhode Island
2024-11-05 20:30,Arkansas
2024-11-05 20:52,Indiana
2024-11-05 21:00,North Dakota
2024-11-05 21:00,South Dakota
2024-11-05 21:00,Wyoming
2024-11-05 21:00,Louisiana
2024-11-05 21:00,New York
2024-11-05 21:00,New Mexico
2024-11-05 21:00,Nebraska
2024-11-05 21:00,NE1
2024-11-05 21:00,NE2
2024-11-05 21:00,NE3
2024-11-05 21:27,DC
2024-11-05 21:37,Colorado
2024-11-05 21:59,Kansas
2024-11-05 22:31,Missouri
2024-11-05 22:54,New Hampshire
2024-11-05 23:00,Idaho
2024-11-05 23:00,California
2024-11-05 23:00,Oregon
2024-11-05 23:00,Washington
2024-11-05 23:08,Utah
2024-11-06 00:06,Hawaii
2024-11-06 00:13,Minnesota
2024-11-06 00:19,Ohio
2024-11-06 00:20,Montana
2024-11-06 00:21,Iowa
2024-11-06 00:35,Florida
2024-11-06 01:06,Texas
2024-11-06 02:51,Arizona
2024-11-06 03:06,Maine
2024-11-06 03:06,ME1
2024-11-06 13:24,ME2
2024-11-06 14:16,Wisconsin
2024-11-06 17:58,Michigan
2024-11-06 11:25,Pennsylvania
2024-11-06 12:13,Nevada
2024-11-09 00:00,Alaska
2024-11-11 00:00,Georgia
2024-11-11 00:00,North Carolina
