AmGreatness/TIPP 9/16 - 9/18	835 LV	3.5	48	48	Tie
Atlanta Journal-Constitution 9/9 - 9/15	1000 LV	3.1	47	44	Trump +3
Atlas Intel 10/27 - 10/30	1212 LV	3.0	50	48	Trump +2
Atlas Intel 9/20 - 9/25	1200 LV	3.0	50	49	Trump +1
Bloomberg 10/16 - 10/20	914 LV	3.0	50	48	Trump +2
Bloomberg 9/19 - 9/25	913 LV	3.0	49	49	Tie
CBS News 9/20 - 9/24	1441 LV	3.3	51	49	Trump +2
CNN* 10/23 - 10/28	732 LV	4.7	48	47	Trump +1
Cook Political Report 7/26 - 8/2	405 LV	—	48	48	Tie 
Cook Political Report 9/19 - 9/25	411 LV	—	49	47	Trump +2
FOX 5 Atlanta/InsiderAdvantage 7/15 - 7/16	800 LV	4.1	47	37	Trump +10
FOX News 9/20 - 9/24	707 LV	3.5	48	51	Harris +3
Fabrizio/Anzalone 7/24 - 7/31	600 LV	4.0	48	48	Tie 
InsiderAdvantage 10/14 - 10/15	800 LV	3.7	49	47	Trump +2
InsiderAdvantage 8/29 - 8/31	800 LV	3.7	48	48	Tie
InsiderAdvantage 9/29 - 9/30	800 LV	3.0	48	48	Tie
Landmark Communications 7/22 - 7/22	400 LV	5.0	48	47	Trump +1
Marist 10/17 - 10/22	1193 LV	3.9	49	49	Tie
Marist 9/19 - 9/24	1220 LV	3.9	50	49	Trump +1
NY Times/Siena 8/9 - 8/14	661 LV	—	50	46	Trump +4
NY Times/Siena 9/17 - 9/21	682 LV	—	49	45	Trump +4
PPP (D) 7/29 - 7/30	662 LV	3.8	47	48	Harris +1
Quinnipiac 10/10 - 10/14	1328 LV	2.7	52	46	Trump +6
Quinnipiac 9/25 - 9/29	942 LV	3.2	50	45	Trump +5
Quinnipiac 9/4 - 9/8	969 LV	3.2	49	46	Trump +3
Rasmussen Reports 10/25 - 10/28	910 LV	3.0	51	46	Trump +5
Rasmussen Reports 9/19 - 9/22	1152 LV	3.0	50	47	Trump +3
The Hill/Emerson 10/5 - 10/8	1000 LV	3.0	49	48	Trump +1
The Hill/Emerson 8/25 - 8/28	800 LV	3.4	48	49	Harris +1
The Hill/Emerson 9/15 - 9/18	975 LV	3.1	50	47	Trump +3
Trafalgar Group (R) 10/24 - 10/26	1087 LV	2.9	48	46	Trump
Trafalgar Group (R) 10/7 - 10/8	1089 LV	2.9	46	45	Trump +1
Trafalgar Group (R) 9/11 - 9/13	1098 LV	2.9	46	45	Trump +1
