st,cohort,totpop,cpop,reg,vot
AZ,Total,5731,5093,3560,2844
,18 to 24 years,751,694,322,170
,25 to 34 years,911,782,509,300
,35 to 44 years,937,800,532,428
,45 to 64 years,1800,1530,1148,975
,65 years and over,1332,1287,1047,971
GA,Total,8314,7601,5275,4323
,18 to 24 years,924,859,466,322
,25 to 34 years,1620,1395,918,640
,35 to 44 years,1400,1176,812,628
,45 to 64 years,2610,2451,1695,1457
,65 years and over,1760,1720,1384,1276
,Total,8175,7533,4583,56.1
,18 to 24 years,921,866,372,40.3
NC,25 to 34 years,1395,1236,652,46.7
,35 to 44 years,1290,1069,675,52.3
,45 to 64 years,2687,2523,1581,58.9
,65 years and over,1881,1838,1303,69.3
MI,Total,7777,7517,5797,4757
,18 to 24 years,826,799,532,371
,25 to 34 years,1304,1223,852,622
,35 to 44 years,1228,1183,894,689
,45 to 64 years,2639,2545,2025,1710
,65 years and over,1779,1767,1494,1365
NV,Total,2451,2206,1436,1123
,18 to 24 years,297,287,122,63
,25 to 34 years,414,355,222,153
,35 to 44 years,406,358,229,170
,45 to 64 years,789,694,458,378
,65 years and over,544,511,405,358
PA,Total,10124,9741,7009,5843
,18 to 24 years,1145,1093,610,437
,25 to 34 years,1680,1611,1041,776
,35 to 44 years,1531,1397,1007,784
,45 to 64 years,3139,3043,2328,1995
,65 years and over,2630,2597,2024,1851
WI,Total,4591,4461,3225,2715
,18 to 24 years,588,579,341,286
,25 to 34 years,724,679,474,371
,35 to 44 years,693,669,447,373
,45 to 64 years,1473,1440,1107,908
,65 years and over,1113,1095,856,777
"Source: U.S. Census Bureau, Current Population Survey, November 2022",,,,,
https://www.census.gov/data/tables/time-series/demo/voting-and-registration/p20-586.html,,,,,
"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2022",,,,,
