state,po,ev,harris,trump,time
Kentucky,KY,8,0,8,2024-11-05 19:00
Vermont,VT,3,3,0,2024-11-05 19:00
West Virginia,WV,4,0,4,2024-11-05 19:30
Virginia,VA,13,13,0,2024-11-05 19:36
South Carolina,SC,9,0,9,2024-11-05 19:56
Alabama,AL,9,0,9,2024-11-05 20:00
Mississippi,MS,6,0,6,2024-11-05 20:00
Tennessee,TN,11,0,11,2024-11-05 20:00
Oklahoma,OK,7,0,7,2024-11-05 20:00
Connecticut,CT,7,7,0,2024-11-05 20:00
Delaware,DE,3,3,0,2024-11-05 20:00
Illinois,IL,19,19,0,2024-11-05 20:00
Maryland,MD,10,10,0,2024-11-05 20:00
Massachusetts,MA,11,11,0,2024-11-05 20:00
New Jersey,NJ,14,14,0,2024-11-05 20:00
Rhode Island,RI,4,4,0,2024-11-05 20:00
Arkansas,AR,6,0,6,2024-11-05 20:30
Indiana,IN,11,0,11,2024-11-05 20:52
North Dakota,ND,3,0,3,2024-11-05 21:00
South Dakota,SD,3,0,3,2024-11-05 21:00
Wyoming,WY,3,0,3,2024-11-05 21:00
Louisiana,LA,8,0,8,2024-11-05 21:00
New York,NY,28,28,0,2024-11-05 21:00
New Mexico,NM,5,5,0,2024-11-05 21:00
Nebraska,NE,2,0,1,2024-11-05 21:00
NE1,NE1,1,0,1,2024-11-05 21:00
NE2,NE2,1,1,0,2024-11-05 21:00
NE3,NE3,1,0,2,2024-11-05 21:00
DC,DC,3,3,0,2024-11-05 21:27
Colorado,CO,10,10,0,2024-11-05 21:37
Kansas,KS,6,0,6,2024-11-05 21:59
Missouri,MO,10,0,10,2024-11-05 22:31
New Hampshire,NH,4,4,0,2024-11-05 22:54
Idaho,ID,4,0,4,2024-11-05 23:00
California,CA,54,54,0,2024-11-05 23:00
Oregon,OR,8,8,0,2024-11-05 23:00
Washington,WA,12,12,0,2024-11-05 23:00
Utah,UT,6,0,6,2024-11-05 23:08
Hawaii,HI,4,4,0,2024-11-06 00:06
Minnesota,MN,10,10,0,2024-11-06 00:13
Ohio,OH,17,0,17,2024-11-06 00:19
Montana,MT,4,0,4,2024-11-06 00:20
Iowa,IA,6,0,6,2024-11-06 00:21
Florida,FL,30,0,30,2024-11-06 00:35
Texas,TX,40,0,40,2024-11-06 01:06
Arizona,AZ,11,11,0,2024-11-06 02:51
Maine,ME,2,2,0,2024-11-06 03:06
ME1,ME1,1,1,0,2024-11-06 03:06
ME2,ME2,1,0,1,2024-11-06 13:24
Wisconsin,WI,10,10,0,2024-11-06 14:16
Michigan,MI,15,15,0,2024-11-06 17:58
Pennsylvania,PA,19,19,0,2024-11-06 11:25
Nevada,NV,6,6,0,2024-11-06 12:13
Alaska,AK,3,0,3,2024-11-09 00:00
Georgia,GA,16,16,0,2024-11-11 00:00
North Carolina,NC,16,0,16,2024-11-11 00:00
