state,po,ev,harris,trump,time,margin,pop_harris,pop_trump,pop_total
Kentucky,KY,8,0,8,2024-11-05 19:00,-0.13200102900262967,0.0,0.0,0.0
Vermont,VT,3,3,0,2024-11-05 19:00,0.18299186552806557,0.0,0.0,0.0
West Virginia,WV,4,0,4,2024-11-05 19:30,-0.1979853231392203,0.0,0.0,0.0
Virginia,VA,13,13,0,2024-11-05 19:36,0.051546869993999045,0.0,0.0,0.0
South Carolina,SC,9,0,9,2024-11-05 19:56,-0.05926608749582096,0.0,0.0,0.0
Alabama,AL,9,0,9,2024-11-05 20:00,-0.12911374833354722,0.0,0.0,0.0
Connecticut,CT,7,7,0,2024-11-05 20:00,0.10195049088077845,0.0,0.0,0.0
Delaware,DE,3,3,0,2024-11-05 20:00,0.09626744164984469,0.0,0.0,0.0
Illinois,IL,19,19,0,2024-11-05 20:00,0.08659043732806926,0.0,0.0,0.0
Massachusetts,MA,11,11,0,2024-11-05 20:00,0.17115549540148145,0.0,0.0,0.0
Maryland,MD,10,10,0,2024-11-05 20:00,0.17029047047092338,0.0,0.0,0.0
Mississippi,MS,6,0,6,2024-11-05 20:00,-0.08384985827388858,0.0,0.0,0.0
New Jersey,NJ,14,14,0,2024-11-05 20:00,0.08071386128187619,0.0,0.0,0.0
Oklahoma,OK,7,0,7,2024-11-05 20:00,-0.16940039496906512,0.0,0.0,0.0
Rhode Island,RI,4,4,0,2024-11-05 20:00,0.10599359883959258,0.0,0.0,0.0
Tennessee,TN,11,0,11,2024-11-05 20:00,-0.11827770372066354,0.0,0.0,0.0
Arkansas,AR,6,0,6,2024-11-05 20:30,-0.1421243327798315,0.0,0.0,0.0
Indiana,IN,11,0,11,2024-11-05 20:52,-0.08198196379638367,0.0,0.0,0.0
Louisiana,LA,8,0,8,2024-11-05 21:00,-0.09464440456291051,0.0,0.0,0.0
North Dakota,ND,3,0,3,2024-11-05 21:00,-0.1720516087835276,0.0,0.0,0.0
Nebraska,NE,2,0,1,2024-11-05 21:00,-0.09784052246601727,0.0,0.0,0.0
NE1,NE1,1,0,1,2024-11-05 21:00,-0.0768338607139315,0.0,0.0,0.0
NE2,NE2,1,1,0,2024-11-05 21:00,0.03338572443289156,0.0,0.0,0.0
NE3,NE3,1,0,2,2024-11-05 21:00,-0.2713664753691417,0.0,0.0,0.0
New Mexico,NM,5,5,0,2024-11-05 21:00,0.05518490151719746,0.0,0.0,0.0
New York,NY,28,28,0,2024-11-05 21:00,0.11727176895339153,0.0,0.0,0.0
South Dakota,SD,3,0,3,2024-11-05 21:00,-0.134347798616815,0.0,0.0,0.0
Wyoming,WY,3,0,3,2024-11-05 21:00,-0.22480434375585095,0.0,0.0,0.0
DC,DC,3,3,0,2024-11-05 21:27,0.4446695384761944,0.0,0.0,0.0
Colorado,CO,10,10,0,2024-11-05 21:37,0.06938319492300149,0.0,0.0,0.0
Kansas,KS,6,0,6,2024-11-05 21:59,-0.07493428255631351,0.0,0.0,0.0
Missouri,MO,10,0,10,2024-11-05 22:31,-0.07835820644401448,0.0,0.0,0.0
New Hampshire,NH,4,4,0,2024-11-05 22:54,0.03748875849516253,0.0,0.0,0.0
California,CA,54,54,0,2024-11-05 23:00,0.14909371340112143,0.0,0.0,0.0
Idaho,ID,4,0,4,2024-11-05 23:00,-0.1587714292507787,0.0,0.0,0.0
Oregon,OR,8,8,0,2024-11-05 23:00,0.08307156985441733,0.0,0.0,0.0
Washington,WA,12,12,0,2024-11-05 23:00,0.09925503184790696,0.0,0.0,0.0
Utah,UT,6,0,6,2024-11-05 23:08,-0.10693605121851635,0.0,0.0,0.0
Hawaii,HI,4,4,0,2024-11-06 00:06,0.15032664646514882,0.0,0.0,0.0
Minnesota,MN,10,10,0,2024-11-06 00:13,0.036395136485666724,0.0,0.0,0.0
Ohio,OH,17,0,17,2024-11-06 00:19,-0.04076697647702715,0.0,0.0,0.0
Montana,MT,4,0,4,2024-11-06 00:20,-0.08397180092048107,0.0,0.0,0.0
Iowa,IA,6,0,6,2024-11-06 00:21,-0.04183263084637051,0.0,0.0,0.0
Florida,FL,30,0,30,2024-11-06 00:35,-0.016947546621415566,0.0,0.0,0.0
Texas,TX,40,0,40,2024-11-06 01:06,-0.02830721236779532,0.0,0.0,0.0
Arizona,AZ,11,11,0,2024-11-06 02:51,0.0015683167912931006,0.0,0.0,0.0
Maine,ME,2,2,0,2024-11-06 03:06,0.04670404582003973,0.0,0.0,0.0
ME1,ME1,1,1,0,2024-11-06 03:06,0.118873149776614,0.0,0.0,0.0
Pennsylvania,PA,19,19,0,2024-11-06 11:25,0.005892052593490571,0.0,0.0,0.0
Nevada,NV,6,6,0,2024-11-06 12:13,0.012231173400438,0.0,0.0,0.0
ME2,ME2,1,0,1,2024-11-06 13:24,-0.03830996091825678,0.0,0.0,0.0
Wisconsin,WI,10,10,0,2024-11-06 14:16,0.003190632665339921,0.0,0.0,0.0
Michigan,MI,15,15,0,2024-11-06 17:58,0.014135593444094652,0.0,0.0,0.0
Alaska,AK,3,0,3,2024-11-09 00:00,-0.052618487238493106,0.0,0.0,0.0
Georgia,GA,16,16,0,2024-11-11 00:00,0.0011932966290864044,0.0,0.0,0.0
North Carolina,NC,16,0,16,2024-11-11 00:00,-0.0068420065378581585,0.0,0.0,0.0
