po,margin,pop_harris,pop_trump,pop,spread
KY,-0.13200102900262967,0.0,0.0,0.0,NaN
VT,0.18299186552806557,0.0,0.0,0.0,NaN
WV,-0.1979853231392203,0.0,0.0,0.0,NaN
VA,0.051546869993999045,0.0,0.0,0.0,NaN
SC,-0.05926608749582096,0.0,0.0,0.0,NaN
AL,-0.12911374833354722,0.0,0.0,0.0,NaN
CT,0.10195049088077845,0.0,0.0,0.0,NaN
DE,0.09626744164984469,0.0,0.0,0.0,NaN
IL,0.08659043732806926,0.0,0.0,0.0,NaN
MA,0.17115549540148145,0.0,0.0,0.0,NaN
MD,0.17029047047092338,0.0,0.0,0.0,NaN
MS,-0.08384985827388858,0.0,0.0,0.0,NaN
NJ,0.08071386128187619,0.0,0.0,0.0,NaN
OK,-0.16940039496906512,0.0,0.0,0.0,NaN
RI,0.10599359883959258,0.0,0.0,0.0,NaN
TN,-0.11827770372066354,0.0,0.0,0.0,NaN
AR,-0.1421243327798315,0.0,0.0,0.0,NaN
IN,-0.08198196379638367,0.0,0.0,0.0,NaN
LA,-0.09464440456291051,0.0,0.0,0.0,NaN
ND,-0.1720516087835276,0.0,0.0,0.0,NaN
NE,-0.09784052246601727,0.0,0.0,0.0,NaN
NE1,-0.0768338607139315,0.0,0.0,0.0,NaN
NE2,0.03338572443289156,0.0,0.0,0.0,NaN
NE3,-0.2713664753691417,0.0,0.0,0.0,NaN
NM,0.05518490151719746,0.0,0.0,0.0,NaN
NY,0.11727176895339153,0.0,0.0,0.0,NaN
SD,-0.134347798616815,0.0,0.0,0.0,NaN
WY,-0.22480434375585095,0.0,0.0,0.0,NaN
DC,0.4446695384761944,0.0,0.0,0.0,NaN
CO,0.06938319492300149,0.0,0.0,0.0,NaN
KS,-0.07493428255631351,0.0,0.0,0.0,NaN
MO,-0.07835820644401448,0.0,0.0,0.0,NaN
NH,0.03748875849516253,0.0,0.0,0.0,NaN
CA,0.14909371340112143,0.0,0.0,0.0,NaN
ID,-0.1587714292507787,0.0,0.0,0.0,NaN
OR,0.08307156985441733,0.0,0.0,0.0,NaN
WA,0.09925503184790696,0.0,0.0,0.0,NaN
UT,-0.10693605121851635,0.0,0.0,0.0,NaN
HI,0.15032664646514882,0.0,0.0,0.0,NaN
MN,0.036395136485666724,0.0,0.0,0.0,NaN
OH,-0.04076697647702715,0.0,0.0,0.0,NaN
MT,-0.08397180092048107,0.0,0.0,0.0,NaN
IA,-0.04183263084637051,0.0,0.0,0.0,NaN
FL,-0.016947546621415566,0.0,0.0,0.0,NaN
TX,-0.02830721236779532,0.0,0.0,0.0,NaN
AZ,0.0015683167912931006,0.0,0.0,0.0,NaN
ME,0.04670404582003973,0.0,0.0,0.0,NaN
ME1,0.118873149776614,0.0,0.0,0.0,NaN
PA,0.005892052593490571,0.0,0.0,0.0,NaN
NV,0.012231173400438,0.0,0.0,0.0,NaN
ME2,-0.03830996091825678,0.0,0.0,0.0,NaN
WI,0.003190632665339921,0.0,0.0,0.0,NaN
MI,0.014135593444094652,0.0,0.0,0.0,NaN
AK,-0.052618487238493106,0.0,0.0,0.0,NaN
GA,0.0011932966290864044,0.0,0.0,0.0,NaN
NC,-0.0068420065378581585,0.0,0.0,0.0,NaN
